Event,Points
Rose Ceremony Order,1
One on One Time,3
Group Date Attendee,5
One on One Date,15
Bachelor Preference,6
Wins PFT,9
Partners with Lead on GD,6
Any Kiss,2
Performs a Steal,5
Blocks A Steal,8
PTC,11
Huju,6
First kiss,7
Tears,3
Self Eliminates,-20
Two On One Win,15
Two On One Loss,-10
First LL4,20
STCO,8
GDR,25
IFI,12
Sex before fantasy suites,30
Liftoff,6
Resurrected,15
Zero point rose,25
Knock Knock,10
Ring winner,100
Runner Up,80
Third Place,60
Fourth place,40
Fifth place,20
Sixth place,10
FIMP,25
LL Raise,13
PDA,6
First Responder,4
Firework Show,5
Dishonorable Discharge,-25
No Rose on One on One,-15
Limo Exit Number,1
Pulled aside FTWR,-3
ITM,1
