Player,Image
Jade Gilliland,<img src='https://ewscripps.brightspotcdn.com/dims4/default/72fed9b/2147483647/strip/true/crop/2000x3000+0+0/resize/960x1440!/quality/90/?url=http%3A%2F%2Fewscripps-brightspot.s3.amazonaws.com%2F9a%2F39%2F56c682cf41fda8f49136310e85d2%2F153300-4695.jpg' height='200'</img>
Victoria Fuller,<img src='https://ewscripps.brightspotcdn.com/dims4/default/c827d01/2147483647/strip/true/crop/2000x3000+0+0/resize/960x1440!/quality/90/?url=http%3A%2F%2Fewscripps-brightspot.s3.amazonaws.com%2F19%2Fa3%2F908cd92d4c228ddf879f57fd0468%2F153300-0315.jpg' height='200'</img>
Kelsey Weir,<img src='https://ewscripps.brightspotcdn.com/dims4/default/78a2d52/2147483647/strip/true/crop/2000x3000+0+0/resize/960x1440!/quality/90/?url=http%3A%2F%2Fewscripps-brightspot.s3.amazonaws.com%2Ff1%2Fd4%2F8671641a45a0b34dd49a79367994%2F153300-0717.jpg' height='200'</img>
Lexi Buchanan,<img src='https://ewscripps.brightspotcdn.com/dims4/default/b96b57a/2147483647/strip/true/crop/2000x3000+0+0/resize/960x1440!/quality/90/?url=http%3A%2F%2Fewscripps-brightspot.s3.amazonaws.com%2Fb3%2Fb3%2F0360da7f4d50a2ea440e7fb9f1e7%2F153300-1052.jpg' height='200'</img>
Kelley Flanagan,<img src='https://ewscripps.brightspotcdn.com/dims4/default/fdfef76/2147483647/strip/true/crop/2000x3000+0+0/resize/960x1440!/quality/90/?url=http%3A%2F%2Fewscripps-brightspot.s3.amazonaws.com%2Fb5%2F0d%2F9e00888d48fdb5ff8afb5b526bb5%2F153300-1294.jpg' height='200'</img>
Eunice Cho,<img src='https://ewscripps.brightspotcdn.com/dims4/default/dc26fb6/2147483647/strip/true/crop/2000x3000+0+0/resize/960x1440!/quality/90/?url=http%3A%2F%2Fewscripps-brightspot.s3.amazonaws.com%2F96%2F29%2F8acfe05f4d98bfa63ced400e8250%2F153300-1792.jpg' height='200'</img>
Sarah Coffin,<img src='https://ewscripps.brightspotcdn.com/dims4/default/827ca2b/2147483647/strip/true/crop/2000x3000+0+0/resize/960x1440!/quality/90/?url=http%3A%2F%2Fewscripps-brightspot.s3.amazonaws.com%2F47%2F3a%2Ff50db51049bc9846d80af27c0bd4%2F153300-2084.jpg' height='200'</img>
Alexa Caves,<img src='https://ewscripps.brightspotcdn.com/dims4/default/858e04f/2147483647/strip/true/crop/2000x3000+0+0/resize/960x1440!/quality/90/?url=http%3A%2F%2Fewscripps-brightspot.s3.amazonaws.com%2F77%2F64%2F6b4518b9498088b741532cdd0af9%2F153300-2398.jpg' height='200'</img>
Maurissa Gunn,<img src='https://ewscripps.brightspotcdn.com/dims4/default/a10d761/2147483647/strip/true/crop/2344x3000+0+0/resize/1125x1440!/quality/90/?url=http%3A%2F%2Fewscripps-brightspot.s3.amazonaws.com%2Fcb%2Fe8%2Fd46b7b4547158c6498ee9eab5e22%2F153300-2751.jpg' height='200'</img>
Savannah Mullins,<img src='https://ewscripps.brightspotcdn.com/dims4/default/ff0eb68/2147483647/strip/true/crop/2000x3000+0+0/resize/960x1440!/quality/90/?url=http%3A%2F%2Fewscripps-brightspot.s3.amazonaws.com%2F8d%2Fa4%2Ffcec478948c69de5ba634bcc64a3%2F153300-3026.jpg' height='200'</img>
